Name,Year,Total Population,Growth Rate,Population Density (per sq km),Total Fertility Rate,Life Expectancy at Birth,Under-5 Mortality Rate
El Salvador,2019,6427299,0.88,310.2,2.1,74.6,14.8
Equatorial Guinea,2019,1501535,3.97,53.5,4.48,63.4,108.5
Eritrea,2019,6032338,0.92,59.7,3.82,65.9,63.9
Estonia,2019,1236253,-0.63,29.2,1.6,77.2,4.2
Eswatini,2019,1095839,0.81,63.7,2.58,57.9,57.9
Ethiopia,2019,105307253,2.4,96,4.21,66.7,54.2
Faroe Islands,2019,51313,0.6,36.8,2.32,80.7,7.9
Fiji,2019,930476,0.52,50.9,2.34,73.5,18.2
Finland,2019,5556081,0.31,18.3,1.74,81.3,2.6
France,2019,67600653,0.34,105.6,1.91,82.9,4.1
French Polynesia,2019,292560,0.81,76.4,1.85,77.8,13.3
Gabon,2019,2175439,2.56,8.4,3.46,68.5,47
"Gambia, The",2019,2246630,2.48,222,4.2,66.4,63.1
Gaza Strip,2019,1935117,1.69,"5,375.30",3.74,74.7,19.2
Georgia,2019,4990137,-0.03,71.6,2.01,74,21.8
Germany,2019,84486950,0.13,242.3,1.56,81.3,3.9
Ghana,2019,30918261,2.34,135.9,3.8,68.2,48.5
Gibraltar,2019,29400,0.21,"4,200.00",1.93,79.9,7.7
Greece,2019,10638236,-0.3,81.4,1.37,81,4.3
Greenland,2019,57787,0.02,0,1.96,73.1,11.7
Grenada,2019,112735,0.39,327.7,1.98,75,13.8
Guam,2019,168149,0.21,309.1,2.88,76.7,13.8
Guatemala,2019,16856499,1.68,157.3,2.8,72.1,36.4
Guernsey,2019,67003,0.26,859,1.57,82.8,4
Guinea,2019,12186302,2.76,49.6,4.95,62.7,81.2
Guinea-Bissau,2019,1879337,2.5,66.8,4.78,62.1,80
Guyana,2019,785685,0.11,4,2.1,71.1,28.7
Haiti,2019,11024764,1.38,400,2.72,64.8,60.6
Honduras,2019,9057496,-0.1,81,2.53,74.4,18
Hong Kong,2019,7231217,0.25,"6,739.30",1.2,83.2,3.6
Hungary,2019,10052971,-0.08,112.2,1.49,76,5.5
Iceland,2019,347209,1.04,3.5,1.98,83.2,2.6
India,2019,1355597153,1.04,455.9,2.13,71.5,35.4
Indonesia,2019,270532675,0.87,149.3,2.11,72.3,25.2
Iran,2019,84038757,1.15,54.9,1.95,74.7,18.1
Iraq,2019,37998273,2.2,86.9,3.47,72.4,25.2
Ireland,2019,4982689,1.04,72.3,1.69,82.5,3.2
Isle of Man,2019,89840,0.62,157.1,1.91,81.5,5.2
Israel,2019,8689128,1.69,404.2,3.01,82.7,3.7
Italy,2019,61449057,-0.1,208.9,1.17,83.1,3.5
Jamaica,2019,2813989,0.03,259.8,2.08,74.9,14
Japan,2019,125555208,-0.32,344.5,1.36,84.3,2.6
Jersey,2019,100066,0.73,862.6,1.65,82.1,4.7
Jordan,2019,10669125,1.99,120.1,3.09,75.3,17.3
Kazakhstan,2019,19299642,1.22,7.1,2.79,74,12.4
Kenya,2019,52348464,2.22,92,3.51,68.5,42.7
Kiribati,2019,110622,1.09,136.4,2.3,66.9,45.6
"Korea, North",2019,25684705,0.58,213.3,1.87,73.5,20
"Korea, South",2019,51439350,0.26,530.7,1,82.5,3.6
Kosovo,2019,1919978,0.67,176.4,1.97,73.1,29
Kuwait,2019,2957304,1.31,166,2.31,78.5,9.7
Kyrgyzstan,2019,5906824,0.98,30.8,2.56,71.5,31
Laos,2019,7430770,1.49,32.2,2.53,67.7,49
Latvia,2019,1903750,-1.08,30.6,1.53,75.2,6.4
Lebanon,2019,5841037,-5.39,571,1.71,78.1,8.2
Lesotho,2019,2146942,0.71,70.7,3.02,57.5,72.2
Liberia,2019,4806336,2.49,49.9,4.38,61.9,79.7
Libya,2019,6757971,2.01,3.8,3.22,76.4,14
Liechtenstein,2019,38845,0.76,242.8,1.69,82.1,5.1
Lithuania,2019,2768295,-1.03,44.2,1.6,75.3,4.4
Luxembourg,2019,617419,1.83,238.8,1.62,82.6,3.8
Macau,2019,620014,0.87,"22,143.40",1.18,84.6,5.5
Madagascar,2019,26265521,2.41,45.2,3.86,67.2,59.6
Malawi,2019,19337320,2.51,205.5,3.75,71.6,60.3
Malaysia,2019,32800591,1.13,99.8,1.82,75.7,8.3
Maldives,2019,391483,-0.09,"1,313.70",1.72,76.2,35.9
Mali,2019,18985385,2.96,15.6,5.82,61.2,104.4
Malta,2019,453321,0.91,"1,434.60",1.48,82.7,6
Marshall Islands,2019,76632,1.46,423.4,2.92,73.9,28.4
Mauritania,2019,3915212,2.09,3.8,3.72,64.1,83.4
Mauritius,2019,1303751,0.12,642.2,1.34,75,14.3
Mexico,2019,127294489,0.9,65.5,1.88,75.6,14.3
"Micronesia, Federated States of",2019,102937,-0.58,146.6,2.33,73.6,28.8
Moldova,2019,3626590,-1.43,110.3,1.21,70.8,15.2
Monaco,2019,30929,0.41,"15,464.50",1.51,89.3,2
Mongolia,2019,3136806,1.05,2,2,70.5,25.8
Montenegro,2019,612064,-0.36,45.5,1.82,77.1,3.8
Montserrat,2019,5331,0.54,52.3,1.3,75.1,13
Morocco,2019,35701589,1,49.8,2.35,72.9,24.7
Mozambique,2019,29320964,2.63,37.3,5.05,55.2,102.7
Namibia,2019,2581821,1.87,3.1,3.14,65,43.4
Nauru,2019,9684,0.47,461.1,2.72,67,11
Nepal,2019,29910522,0.92,208.7,2.01,71.6,33.4
Netherlands,2019,17303793,0.73,510.5,1.57,82.1,4.2
New Caledonia,2019,286430,1.27,15.7,1.9,78.2,9.5
New Zealand,2019,4854803,1.5,18.4,1.88,82,4.3
Nicaragua,2019,6352079,1.14,52.9,1.93,74.9,19.2
Niger,2019,21944198,3.65,17.3,7.1,58.9,111.5
Nigeria,2019,208640307,2.53,229.1,4.79,59.8,94.6
North Macedonia,2019,2122376,0.16,83.4,1.49,76.1,8.9
Northern Mariana Islands,2019,52048,-0.38,110.3,2.73,75.9,15.3
Norway,2019,5350073,0.73,17.6,1.54,83,2.6
Oman,2019,3554839,1.97,11.5,2.78,76.2,20.5
Pakistan,2019,228674451,2.08,296.6,3.68,68.8,74.1
Palau,2019,21453,0.36,46.7,1.7,73.8,14.5
Panama,2019,4139538,2.09,55.7,2.45,79.3,18.8
Papua New Guinea,2019,8924209,2.47,19.7,4.11,68.5,44.8
Paraguay,2019,7105476,1.17,17.9,1.9,77.7,31.9
Peru,2019,31452824,1.62,24.6,2.29,77.5,13.9
Philippines,2019,108205565,1.58,362.9,2.67,70.9,28.4
Poland,2019,38452869,-0.09,126.4,1.44,77.8,5.2
Portugal,2019,10314630,-0.26,112.8,1.4,81,3.2
Puerto Rico,2019,3241261,-1.62,365.5,1.22,81.1,6.9
Qatar,2019,2409287,1.68,207.9,1.91,79.2,9.9
Romania,2019,19196073,-1.04,83.5,1.72,76.3,6.9
Russia,2019,143877288,-0.11,8.8,1.5,73.1,7.8
Rwanda,2019,12458371,2.15,505,3.64,64.8,38
Saint Barthelemy,2019,7149,-0.28,286,1.64,80,8.8
"Saint Helena, Ascension, and Tristan da Cunha",2019,7890,0.18,20,1.59,79.9,24
Saint Kitts and Nevis,2019,53438,0.69,204.7,1.77,76.4,16.2
Saint Lucia,2019,165634,0.31,273.3,1.74,78.2,14.1
Saint Martin,2019,32427,0.43,600.5,1.81,80,8.7
Saint Pierre and Miquelon,2019,5447,-1.16,22.5,1.58,80.9,10
Saint Vincent and the Grenadines,2019,101537,-0.21,261,1.77,75.9,19.7
Samoa,2019,202450,0.6,71.8,2.57,74.4,24.2
San Marino,2019,34019,0.69,557.7,1.51,83.4,7.5
Sao Tome and Principe,2019,207469,1.59,215.2,3.96,66.1,71.2
Saudi Arabia,2019,33670051,1.64,15.7,2.02,75.9,15.1
Senegal,2019,16549615,2.75,86,4.6,69.1,48.2
Serbia,2019,6902768,-0.54,89.1,1.49,75.3,5.7
Seychelles,2019,95038,0.74,208.9,1.84,75.3,16.5
Sierra Leone,2019,8035721,2.75,112.2,4.11,57.7,104.5
Singapore,2019,5753597,0.99,"8,115.10",1.14,85.8,2
Sint Maarten,2019,43408,1.36,"1,276.70",2.03,78.8,9.4
Slovakia,2019,5487346,0.14,114.1,1.57,77.8,5.9
Slovenia,2019,2102381,0.01,104.3,1.58,81.3,2
Solomon Islands,2019,666359,1.83,23.8,3.03,76,27.4
Somalia,2019,11557634,2.19,18.4,5.61,54.5,149.4
South Africa,2019,57363192,1.19,47.2,2.42,70.4,26.9
South Sudan,2019,10280050,2.63,16,5.65,52,122.1
Spain,2019,46812053,0.85,93.8,1.3,83.2,3.3
Sri Lanka,2019,21247368,0.22,328.8,2.18,76.9,8.2
Sudan,2019,44337528,2.69,23.8,4.79,66.1,66.5
Suriname,2019,610507,1.27,3.9,2.03,72,40.5
Sweden,2019,10311555,0.91,25.1,1.7,83.1,2.5
Switzerland,2019,8525316,0.67,213.1,1.52,83.7,3.6
Syria,2019,18584688,3.86,100,2.96,73.5,19.6
Taiwan,2019,23553634,0.04,730.1,1.05,80.5,5
Tajikistan,2019,9400107,2.23,66.4,3.76,70.8,33.7
Tanzania,2019,58659971,2.88,66.2,4.6,68.9,47.6
Thailand,2019,69082954,0.32,135.2,1.53,76.9,9.2
Timor-Leste,2019,1352065,2.28,90.9,4.56,69,45.9
Togo,2019,7872308,2.58,144.8,4.38,70.2,67
Tonga,2019,106198,-0.15,148.1,2.95,76.9,15.4
Trinidad and Tobago,2019,1405423,-0.87,274.1,1.63,75.2,20
Tunisia,2019,11620878,0.88,74.8,2.12,76.1,14.5
Turkey,2019,81628106,0.48,106.1,1.98,75.4,24
Turkmenistan,2019,5464588,1.07,11.6,2.05,71,49.3
Turks and Caicos Islands,2019,54982,2.04,58,1.7,80.5,14.5
Tuvalu,2019,11252,0.87,432.8,2.9,67.4,50.8
Uganda,2019,41830731,3.33,212.2,5.63,67.7,47
Ukraine,2019,43686413,-0.24,75.4,1.23,71.8,9.7
United Arab Emirates,2019,9720156,0.78,116.3,1.67,79,5.9
United Kingdom,2019,66603767,0.65,275.3,1.62,81.6,4.5
United States,2019,328329953,0.46,35.9,--,--,--
Uruguay,2019,3380460,0.27,19.3,1.78,77.8,11.2
Uzbekistan,2019,33363072,1.95,78.4,2.84,76.5,21.9
Vanuatu,2019,292858,1.75,24,2.88,74.3,18.1
Venezuela,2019,28663911,-1.05,32.5,2.28,71,34.7
Vietnam,2019,100669666,1.09,324.7,2.09,74.9,20.3
"Virgin Islands, British",2019,36397,2.06,241,1.31,79.1,16.5
"Virgin Islands, U.S.",2019,106669,-0.34,306.5,2.05,79.7,9
Wallis and Futuna,2019,15765,0.29,111,1.72,80,4.7
West Bank,2019,2918868,2.25,517.5,3.76,75.7,19.4
Yemen,2019,29216329,2.05,55.3,3.34,66.5,66.3
Zambia,2019,17978611,3,24.2,4.77,65.2,56.6
Zimbabwe,2019,15433591,2.28,39.9,3.67,64.5,54.2
 -> 2020,,--,--,--,--,--,--
Afghanistan,2020,36594776,2.37,56.1,4.82,52.8,160
Albania,2020,3080930,0.25,112.5,1.53,79,13.3
Algeria,2020,43956864,1.76,18.5,3.06,75.4,22.4
American Samoa,2020,47392,-2.28,239.4,2.35,74.8,13.2
Andorra,2020,85722,-0.08,183.2,1.43,83,4.3
Angola,2020,32521837,3.4,26.1,5.96,61.3,96.1
Anguilla,2020,18066,1.87,198.5,1.73,81.8,4.6
Antigua and Barbuda,2020,98012,1.19,221.2,1.97,77.3,18.1
Argentina,2020,45479650,0.85,16.6,2.21,77.8,11.5
Armenia,2020,3021483,-0.31,107.1,1.65,75.6,14.5
Aruba,2020,119496,1.2,663.9,1.83,77.5,14.8
Australia,2020,25467706,1.37,3.3,1.74,82.7,3.7
Austria,2020,8856348,0.32,107.4,1.49,81.9,4
Azerbaijan,2020,10464719,0.5,126.6,1.69,73.1,15.5
"Bahamas, The",2020,394613,1.02,39.4,1.43,75.1,11.9
Bahrain,2020,1504665,2.04,"1,979.80",1.69,79.5,12.8
Bangladesh,2020,162532538,0.97,"1,248.60",2.11,74.2,39.4
Barbados,2020,301001,0.3,700,1.7,78.1,12.7
Belarus,2020,9636175,-0.28,47.5,1.44,74.1,3.4
Belgium,2020,11708235,0.61,386.7,1.77,81.4,4
Belize,2020,392318,1.49,17.2,2.18,72.9,13.3
Benin,2020,12861152,3.38,116.3,5.51,61.4,89.6
Bermuda,2020,71818,0.38,"1,330.00",1.91,81.6,3
Bhutan,2020,850853,1.02,22.2,1.82,71.6,36.8
Bolivia,2020,11775350,1.22,10.9,2.46,72.4,29.1
