Name,Year,Total Population,Growth Rate,Population Density (per sq km),Total Fertility Rate,Life Expectancy at Birth,Under-5 Mortality Rate
Uzbekistan,2020,34014838,1.92,80,2.97,75.4,24.3
Vanuatu,2020,297953,1.7,24.4,2.79,74.6,17.6
Venezuela,2020,28612153,0.69,32.4,2.26,71,34.7
Vietnam,2020,101745119,1.04,328.1,2.08,75,19.9
"Virgin Islands, British",2020,37146,2.01,246,1.33,79.2,16.2
"Virgin Islands, U.S.",2020,106290,-0.38,305.4,2.03,79.8,8.9
Wallis and Futuna,2020,15809,0.28,111.3,1.71,80.2,4.6
West Bank,2020,2983867,2.16,529.1,3.7,74,22.8
Yemen,2020,29810956,1.98,56.5,3.2,66.9,64.8
Zambia,2020,18523385,2.97,24.9,4.7,65.6,55.5
Zimbabwe,2020,15787762,2.26,40.8,3.65,65.5,52.2
 -> 2021,,--,--,--,--,--,--
Afghanistan,2021,37466414,2.34,57.4,4.72,53.3,157
Albania,2021,3088385,0.24,112.7,1.53,79.2,13
Algeria,2021,44741234,1.78,18.8,3.03,77.5,21.9
American Samoa,2021,46366,-2.1,234.2,2.28,75.1,12.9
Andorra,2021,85645,-0.1,183,1.44,83.2,4.2
Angola,2021,33642646,3.38,27,5.9,61.7,93
Anguilla,2021,18403,1.84,202.2,1.72,82,4.5
Antigua and Barbuda,2021,99175,1.17,223.9,1.96,77.6,17.7
Argentina,2021,45864941,0.84,16.8,2.2,78.1,11.2
Armenia,2021,3011609,-0.35,106.8,1.65,75.9,14.1
Aruba,2021,120917,1.17,671.8,1.83,77.8,14.4
Australia,2021,25809973,1.31,3.4,1.74,82.9,3.7
Austria,2021,8884864,0.32,107.8,1.5,82.1,3.9
Azerbaijan,2021,10513772,0.44,127.2,1.69,73.1,15.5
"Bahamas, The",2021,398404,0.89,39.8,1.43,73.2,11.4
Bahrain,2021,1526929,0.9,"2,009.10",1.68,79.7,12.5
Bangladesh,2021,164098818,0.95,"1,260.70",2.1,74.4,38.4
Barbados,2021,301865,0.28,702,1.7,78.3,12.4
Belarus,2021,9607168,-0.32,47.3,1.44,74.2,3.3
Belgium,2021,11778842,0.59,389,1.77,81.7,4
Belize,2021,398043,1.41,17.5,2.15,72.3,13.2
Benin,2021,13301694,3.36,120.2,5.47,61.8,86.9
Bermuda,2021,72084,0.36,"1,334.90",1.91,81.8,2.9
Bhutan,2021,859364,0.98,22.4,1.8,71.6,36.8
Bolivia,2021,11917267,1.17,11,2.39,72.5,27.7
Bosnia and Herzegovina,2021,3824782,-0.21,74.7,1.35,77.7,6.1
Botswana,2021,2350667,1.43,4.1,2.42,65.2,33.3
Brazil,2021,215903281,0.54,25.8,1.6,75.2,17.9
Brunei,2021,471103,1.48,89.5,1.75,78.1,12.4
Bulgaria,2021,6919180,-0.67,63.8,1.49,75.3,9.5
Burkina Faso,2021,21382659,2.58,78.1,4.39,63.1,84
Burma,2021,56301989,0.63,86.2,2.05,68.7,45.2
Burundi,2021,12241065,3.68,476.7,5.1,67.1,55.7
Cabo Verde,2021,589451,1.24,146.2,2.14,73.5,29.5
Cambodia,2021,16528811,1.13,93.6,2.28,70.3,40.7
Cameroon,2021,28524175,2.77,60.3,4.61,62.8,75.4
Canada,2021,37943231,0.77,4.2,1.57,83.6,5.1
Cayman Islands,2021,63131,1.87,239.1,1.83,81.8,9.1
Central African Republic,2021,5357984,1.79,8.6,4.09,55.1,126.7
Chad,2021,17414108,3.12,13.8,5.57,58.7,111.4
Chile,2021,18307925,0.68,24.6,1.76,79.6,7.8
China,2021,1407098834,0.3,150.9,1.5,77.7,7.9
Colombia,2021,48757939,0.64,46.9,1.95,74.9,13.8
Comoros,2021,864335,1.41,386.7,2.86,66.9,80.2
Congo (Brazzaville),2021,5666887,2.65,16.6,3.99,70.7,46.6
Congo (Kinshasa),2021,105044646,3.16,46.3,5.7,61.4,83.6
Cook Islands,2021,8327,-2.46,35.3,2.09,76.9,19.6
Costa Rica,2021,5157007,0.58,101,1.34,77.5,9.6
Croatia,2021,4208973,-0.48,75.2,1.44,77,10.7
Cuba,2021,11032343,-0.23,100.5,1.71,79.4,5.3
Curaçao,2021,151885,0.33,342.1,1.99,79.2,9
Cyprus,2021,1281506,1.11,138.7,1.48,79.5,9.8
Czechia,2021,10797500,0.2,139.8,1.75,77.5,3.4
Côte d'Ivoire,2021,28088455,2.21,88.3,3.6,61.8,78.7
Denmark,2021,5894687,0.44,138.9,1.77,81.5,3.6
Djibouti,2021,938413,2.01,40.5,2.17,65,64.4
Dominica,2021,74584,0.07,99.3,2.02,78,13.3
Dominican Republic,2021,10585919,0.67,219.1,2.1,70.3,29.6
Ecuador,2021,17761236,1.09,71.5,2.31,74.9,14
Egypt,2021,105919663,1.78,106.4,2.99,74.2,21.4
El Salvador,2021,6528135,0.67,315,2.07,75.1,14.3
Equatorial Guinea,2021,1620289,3.65,57.8,4.34,63.6,107.1
Eritrea,2021,6147398,0.98,60.9,3.65,66.5,61.1
Estonia,2021,1220042,-0.69,28.8,1.61,77.6,4.1
Eswatini,2021,1113276,0.77,64.7,2.48,59.1,52.7
Ethiopia,2021,110408120,2.2,100.7,4.07,61.7,64
Faroe Islands,2021,51943,0.62,37.3,2.3,81,7.7
Fiji,2021,939535,0.46,51.4,2.28,74,17.3
Finland,2021,5587442,0.26,18.4,1.74,81.6,2.6
France,2021,67945112,0.22,106.1,1.91,82.3,4.2
French Polynesia,2021,297154,0.75,77.6,1.82,78.2,12.7
Gabon,2021,2284912,2.41,8.9,3.36,69.4,43.3
"Gambia, The",2021,2357958,2.36,233,3.93,67.2,60.3
Gaza Strip,2021,2012914,2.02,"5,591.40",3.6,69.7,29.1
Georgia,2021,4988990,-0.68,71.6,1.98,71.3,26.6
Germany,2021,84409193,-0.11,242.1,1.57,81.3,3.9
Ghana,2021,32372889,2.26,142.3,3.71,69,46.2
Gibraltar,2021,29516,0.19,"4,216.60",1.91,80.2,7.5
Greece,2021,10569703,-0.34,80.9,1.39,81.3,4.2
Greenland,2021,57799,-0.01,0,1.92,73.7,11.2
Grenada,2021,113570,0.35,330.1,1.95,75.5,13.3
Guam,2021,168801,0.18,310.3,2.81,77.3,13.1
Guatemala,2021,17422821,1.62,162.6,2.67,72.6,34.8
Guernsey,2021,67334,0.24,863.3,1.58,83,3.9
Guinea,2021,12877894,2.76,52.4,4.89,63.5,76.3
Guinea-Bissau,2021,1976187,2.52,70.3,4.72,63.3,75
Guyana,2021,787971,0.19,4,2.07,71.6,27
Haiti,2021,11322401,1.37,410.8,2.59,63.3,56.5
Honduras,2021,9188928,0.9,82.1,2.44,69.4,17.4
Hong Kong,2021,7263234,0.2,"6,769.10",1.22,83.4,3.5
Hungary,2021,9971543,-0.66,111.3,1.59,74,6.2
Iceland,2021,354234,0.97,3.5,1.96,83.5,2.6
India,2021,1380721926,0.62,464.4,2.13,66.8,34.1
Indonesia,2021,275122131,0.81,151.9,2.04,72.8,24.1
Iran,2021,85888910,1.03,56.1,1.93,75.1,17.5
Iraq,2021,39650145,2.06,90.7,3.32,72.9,24.1
Ireland,2021,5070166,0.72,73.6,1.72,82.6,3.4
Isle of Man,2021,90895,0.55,158.9,1.9,81.8,5.1
Israel,2021,8968042,1.6,417.2,3,81.9,4
Italy,2021,61196793,-0.2,208.1,1.2,82.1,3.9
Jamaica,2021,2816602,0.06,260.1,2.06,75.5,13.3
Japan,2021,124687293,-0.37,342.1,1.38,84.7,2.6
Jersey,2021,101476,0.67,874.8,1.66,82.4,4.6
Jordan,2021,10909567,0.82,122.9,3,75.8,16.5
Kazakhstan,2021,19707245,0.99,7.3,2.6,72.5,10.2
Kenya,2021,54685051,2.15,96.1,3.36,69.3,39.6
Kiribati,2021,113001,1.05,139.3,2.23,67.6,43.6
"Korea, North",2021,25964628,0.51,215.6,1.84,73.4,20.1
"Korea, South",2021,51715162,0.26,533.6,1.09,82.8,3.5
Kosovo,2021,1942251,0.51,178.4,1.92,70.1,37.4
Kuwait,2021,3032065,1.2,170.2,2.25,78.9,9.4
Kyrgyzstan,2021,6018789,0.9,31.4,2.52,72.1,29.6
Laos,2021,7645472,1.37,33.1,2.41,67.7,49
Latvia,2021,1862687,-1.1,29.9,1.54,75.7,6.2
Lebanon,2021,5261372,0.68,514.3,1.71,78.5,7.9
Lesotho,2021,2177740,0.73,71.7,2.95,58.9,66.3
Liberia,2021,5062592,2.41,52.6,4.22,60.7,76.6
Libya,2021,7017224,1.76,4,3.13,76.9,13.3
Liechtenstein,2021,39425,0.73,246.4,1.69,82.4,4.9
Lithuania,2021,2711566,-1.04,43.3,1.61,75.6,4.4
Luxembourg,2021,639589,1.7,247.3,1.63,82.8,3.8
Macau,2021,630396,0.79,"22,514.10",1.21,84.8,5.4
Madagascar,2021,27534354,2.31,47.3,3.7,67.9,57.1
Malawi,2021,20308502,2.39,215.9,3.51,72.2,56.9
Malaysia,2021,33519406,1.06,102,1.76,75.9,8.2
Maldives,2021,390669,-0.12,"1,311.00",1.71,76.7,34.1
Mali,2021,20137527,2.97,16.5,5.63,62,98
Malta,2021,460891,0.75,"1,458.50",1.5,83,5.8
Marshall Islands,2021,78831,1.37,435.5,2.81,74.4,27.1
Mauritania,2021,4079284,2.02,4,3.59,64.9,79.8
Mauritius,2021,1306837,0.11,643.8,1.34,74.6,14.6
Mexico,2021,128569498,0.4,66.1,1.62,71.1,13.4
"Micronesia, Federated States of",2021,101675,-0.64,144.8,2.27,74.2,27.4
Moldova,2021,3563449,-0.57,108.3,1.23,69,17.1
Monaco,2021,31223,0.53,"15,611.50",1.52,89.4,2
Mongolia,2021,3198913,0.93,2.1,1.93,71.1,24.7
Montenegro,2021,607414,-0.4,45.2,1.82,77.5,3.7
Montserrat,2021,5387,0.52,52.8,1.31,75.5,12.1
Morocco,2021,36400581,0.94,50.8,2.31,73.4,23.5
Mozambique,2021,30888034,2.58,39.3,4.89,56.5,96.9
Namibia,2021,2669568,1.6,3.2,3.03,61.1,46.1
Nauru,2021,9770,0.42,465.2,2.65,67.6,10.6
Nepal,2021,30424878,0.81,212.2,1.93,72.1,31.9
Netherlands,2021,17493062,0.66,516.1,1.6,81.3,4.4
New Caledonia,2021,293608,1.22,16.1,1.87,78.6,9.1
New Zealand,2021,4991442,1.28,18.9,1.87,82.3,4.2
Nicaragua,2021,6482693,1.02,54,1.89,74.1,17.8
Niger,2021,23605767,3.65,18.6,6.91,59.7,107
Nigeria,2021,219463862,2.53,241,4.67,60.9,88.7
North Macedonia,2021,2128262,0.13,83.7,1.51,76.6,8.6
Northern Mariana Islands,2021,51659,-0.36,109.4,2.66,76.3,14.6
Norway,2021,5410267,0.62,17.8,1.56,83.2,2.2
Oman,2021,3694755,1.89,11.9,2.73,76.6,19.6
Pakistan,2021,238181034,1.99,309,3.53,69.4,70.6
Palau,2021,21613,0.38,47.1,1.7,74.4,13.9
Panama,2021,4271368,1.55,57.5,2.41,76.8,23
Papua New Guinea,2021,9368881,2.39,20.7,3.98,69.1,42.6
Paraguay,2021,7272639,1.15,18.3,1.89,78.1,30.4
Peru,2021,32110270,0.51,25.1,2.23,68.9,13.9
Philippines,2021,112771402,1.61,378.2,2.79,69.8,28.7
Poland,2021,38184917,-0.68,125.5,1.3,73.7,6.8
Portugal,2021,10263850,-0.23,112.2,1.42,81.3,3.1
Puerto Rico,2021,3142779,-1.46,354.4,1.23,81.5,6.7
Qatar,2021,2479995,1.23,214.1,1.9,79.6,9.5
Romania,2021,18748356,-1.36,81.6,1.63,73.4,7.9
Russia,2021,142847266,-0.46,8.7,1.51,71.6,8.5
Rwanda,2021,12943132,1.8,524.7,3.42,65.5,36
Saint Barthelemy,2021,7116,-0.2,284.6,1.64,80.4,8.5
"Saint Helena, Ascension, and Tristan da Cunha",2021,7915,0.14,20.1,1.6,80.3,22.8
Saint Kitts and Nevis,2021,54149,0.64,207.5,1.77,76.8,15.5
Saint Lucia,2021,166637,0.3,275,1.73,78.7,13.5
Saint Martin,2021,32680,0.36,605.2,1.8,80.4,8.5
Saint Pierre and Miquelon,2021,5321,-1.2,22,1.58,81.2,9.6
Saint Vincent and the Grenadines,2021,101145,-0.18,260,1.75,76.4,18.8
Samoa,2021,204898,0.61,72.6,2.46,74.9,23.3
San Marino,2021,34467,0.63,565,1.52,83.7,7.2
Sao Tome and Principe,2021,213948,1.5,221.9,3.69,66.7,68.1
Saudi Arabia,2021,34783757,1.62,16.2,1.95,76.4,14.4
Senegal,2021,17462980,2.63,90.7,4.38,69.7,46
Serbia,2021,6796857,-0.95,87.7,1.46,72.9,6
Seychelles,2021,96387,0.67,211.8,1.82,75.8,15.7
Sierra Leone,2021,8475149,2.58,118.3,3.9,58.5,100.1
Singapore,2021,5866139,0.95,"8,273.80",1.15,86.2,2
Sint Maarten,2021,44564,1.28,"1,310.70",2,79,9.2
Slovakia,2021,5487789,-0.2,114.1,1.6,75,7.1
Slovenia,2021,2102106,-0.03,104.3,1.59,81.6,2
Solomon Islands,2021,690598,1.75,24.7,2.92,76.5,26.2
Somalia,2021,12094640,2.35,19.3,5.41,55.3,143.9
South Africa,2021,58576104,0.87,48.2,2.38,66,29.7
South Sudan,2021,10984074,5.05,17,5.43,58.6,101.2
Spain,2021,47103121,0.13,94.4,1.26,82.3,3
Sri Lanka,2021,21561725,0.9,333.6,2.17,76.3,8
Sudan,2021,46751152,2.55,25.1,4.66,66.8,63.5
Suriname,2021,625420,1.16,4,1.94,72.3,39.6
Sweden,2021,10432235,0.49,25.4,1.67,82.6,2.8
Switzerland,2021,8653376,0.83,216.4,1.58,83.6,3.6
Syria,2021,20384316,5.32,109.7,2.85,74,18.7
Taiwan,2021,23572052,0.04,730.7,1.07,81,4.8
Tajikistan,2021,9800332,2.01,69.3,3.68,69.5,32
Tanzania,2021,62092761,2.81,70.1,4.45,69.9,44.2
Thailand,2021,69480520,0.26,136,1.54,77.4,8.9
Timor-Leste,2021,1413958,2.19,95.1,4.32,69.6,43.7
Togo,2021,8283189,2.51,152.3,4.28,71,62
Tonga,2021,105780,-0.23,147.5,2.81,77.3,14.8
Trinidad and Tobago,2021,1403505,0.17,273.7,1.63,75.7,19.1
Tunisia,2021,11811335,0.75,76,2.03,76.6,13.9
Turkey,2021,82482383,0.7,107.2,1.94,76,22.8
Turkmenistan,2021,5579889,1.02,11.9,2.04,71.5,46.9
Turks and Caicos Islands,2021,57196,1.91,60.3,1.7,80.6,14.4
Tuvalu,2021,11448,0.85,440.3,2.86,68.1,48.4
Uganda,2021,44712143,3.31,226.9,5.45,68.6,43.6
Ukraine,2021,43127334,-1.18,74.4,1.22,68.3,11.8
United Arab Emirates,2021,9856612,0.62,117.9,1.65,79.4,5.7
United Kingdom,2021,67419123,0.57,278.7,1.63,81.8,4.4
United States,2021,332031554,0.16,36.3,--,--,--
Uruguay,2021,3398239,0.26,19.4,1.76,78.2,10.8
Uzbekistan,2021,34694004,2.03,81.6,3.24,75.4,24.3
Vanuatu,2021,303009,1.67,24.9,2.72,74.9,17.2
Venezuela,2021,29069153,2.46,33,2.24,72.2,27.1
Vietnam,2021,102789598,1,331.5,2.06,75.3,19.5
"Virgin Islands, British",2021,37891,1.96,250.9,1.34,79.4,15.7
"Virgin Islands, U.S.",2021,105870,-0.42,304.2,2.01,80.1,8.7
Wallis and Futuna,2021,15851,0.26,111.6,1.71,80.5,4.5
West Bank,2021,3046655,2.01,540.2,3.65,71,30
Yemen,2021,30399243,1.93,57.6,3.1,67.2,63.3
Zambia,2021,19077816,2.93,25.7,4.63,65.9,54.4
Zimbabwe,2021,16138294,2.14,41.7,3.6,65.3,50.8
 -> 2022,,--,--,--,--,--,--
Afghanistan,2022,38346720,2.3,58.8,4.62,53.7,154.1
Albania,2022,3095344,0.22,113,1.54,79.5,12.7
Algeria,2022,45525932,1.7,19.1,3,77.7,21.8
American Samoa,2022,45443,-1.92,229.5,2.21,75.3,12.7
Andorra,2022,85560,-0.1,182.8,1.45,83.4,4.1
Angola,2022,34795287,3.36,27.9,5.83,62.1,90
Anguilla,2022,18741,1.8,205.9,1.72,82.2,4.5
Antigua and Barbuda,2022,100335,1.15,226.5,1.95,77.8,17.3
Argentina,2022,46245668,0.82,16.9,2.18,78.3,11
Armenia,2022,3000756,-0.38,106.4,1.65,76.1,13.8
Aruba,2022,122320,1.14,679.6,1.83,78,14
Australia,2022,26141369,1.25,3.4,1.73,83.1,3.6
Austria,2022,8913088,0.32,108.1,1.51,82.3,3.9
Azerbaijan,2022,10559462,0.43,127.8,1.69,73.9,14.5
"Bahamas, The",2022,402272,1.04,40.2,1.44,75.6,11.4
Bahrain,2022,1540558,0.88,"2,027.00",1.67,79.9,12.1
Bangladesh,2022,165650475,0.93,"1,272.60",2.09,74.7,37.4
Barbados,2022,302674,0.26,703.9,1.7,78.6,12.1
Belarus,2022,9574832,-0.35,47.2,1.44,74.4,3.3
Belgium,2022,11847338,0.57,391.3,1.77,81.9,3.9
Belize,2022,403789,1.46,17.7,2.12,73,13.1
Benin,2022,13754688,3.34,124.3,5.43,62.2,84.3
Bermuda,2022,72337,0.34,"1,339.60",1.9,82,2.9
Bhutan,2022,867775,0.97,22.6,1.79,72.3,34.8
Bolivia,2022,12054379,1.12,11.1,2.33,72.5,27.7
Bosnia and Herzegovina,2022,3816459,-0.22,74.6,1.36,78,5.9
Botswana,2022,2384246,1.4,4.2,2.39,65.6,32.3
Brazil,2022,217240060,0.7,26,1.8,75.9,16.8
Brunei,2022,478054,1.45,90.8,1.74,78.4,12.1
Bulgaria,2022,6873253,-0.67,63.4,1.5,75.6,9.4
Burkina Faso,2022,21935389,2.53,80.1,4.27,63.4,81.4
Burma,2022,56691889,0.75,86.8,2.02,69.2,43.3
Burundi,2022,12696478,3.63,494.4,5.03,67.4,53.9
Cabo Verde,2022,596707,1.21,148,2.13,73.8,28.7
Cambodia,2022,16713015,1.08,94.7,2.24,70.7,39.5
Cameroon,2022,29321637,2.75,62,4.55,63.3,73.1
Canada,2022,38232593,0.75,4.2,1.57,83.8,5.1
Cayman Islands,2022,64309,1.83,243.6,1.82,82,8.9
Central African Republic,2022,5454533,1.78,8.8,4.04,55.5,124.6
Chad,2022,17963211,3.09,14.3,5.46,59.2,108.3
Chile,2022,18430408,0.66,24.8,1.76,79.8,7.6
China,2022,1410539758,0.19,151.2,1.45,77.7,7.9
Colombia,2022,49059221,0.59,47.2,1.95,74.9,13.8
Comoros,2022,876437,1.37,392.1,2.78,67.2,78.5
Congo (Brazzaville),2022,5812224,2.41,17,3.92,71.5,45.4
Congo (Kinshasa),2022,108407721,3.14,47.8,5.63,61.8,81.1
Cook Islands,2022,8128,-2.39,34.4,2.07,77.1,19.1
Costa Rica,2022,5190148,0.7,101.6,1.37,79,8.4
Croatia,2022,4188853,-0.47,74.8,1.45,77.2,10.5
Cuba,2022,11008112,-0.21,100.2,1.71,79.6,5.2
Curaçao,2022,152379,0.32,343.2,1.98,79.4,8.8
Cyprus,2022,1295102,1.06,140.1,1.48,79.7,9.6
Czechia,2022,10816746,0.15,140,1.74,77.9,3.3
Côte d'Ivoire,2022,28713423,2.19,90.3,3.53,62.3,76.2
Denmark,2022,5920767,0.44,139.5,1.77,81.7,3.6
Djibouti,2022,957273,1.97,41.3,2.15,65.3,63.1
Dominica,2022,74629,0.05,99.4,2.02,78.2,13
Dominican Republic,2022,10658862,0.7,220.6,2.12,71.1,28.3
Ecuador,2022,17951090,1.04,72.3,2.28,74.9,14
Egypt,2022,107770524,1.68,108.3,2.88,74.5,20.8
El Salvador,2022,6568745,0.57,317,2.05,75.4,14
Equatorial Guinea,2022,1679172,3.5,59.9,4.26,63.7,106.4
Eritrea,2022,6209262,1.03,61.5,3.58,66.9,59.8
Estonia,2022,1211524,-0.71,28.6,1.61,77.9,4.1
Eswatini,2022,1121761,0.75,65.2,2.44,59.7,50.7
Ethiopia,2022,112996046,2.43,103,3.99,66.6,49.7
Faroe Islands,2022,52269,0.63,37.5,2.29,81.3,7.5
Fiji,2022,943737,0.44,51.6,2.26,74.3,16.9
Finland,2022,5601547,0.24,18.4,1.74,81.8,2.6
France,2022,68092884,0.21,106.3,1.9,82.4,4.2
French Polynesia,2022,299356,0.73,78.2,1.81,78.4,12.4
Gabon,2022,2340613,2.4,9.1,3.31,69.7,41.7
"Gambia, The",2022,2413403,2.29,238.5,3.79,67.6,59
Gaza Strip,2022,2055000,2.11,"5,708.30",3.5,74.1,20.1
Georgia,2022,4956585,-0.62,71.1,1.97,71.8,25.6
Germany,2022,84316622,-0.11,241.8,1.57,81.5,3.9
Ghana,2022,33107275,2.23,145.5,3.66,69.4,45.1
Gibraltar,2022,29573,0.19,"4,224.70",1.9,80.4,7.3
Greece,2022,10533871,-0.34,80.6,1.4,81.5,4.1
Greenland,2022,57792,-0.02,0,1.91,74,11
Grenada,2022,113949,0.32,331.2,1.93,75.7,13
Guam,2022,169086,0.16,310.8,2.78,77.5,12.8
Guatemala,2022,17703190,1.58,165.2,2.62,72.9,33.9
Guernsey,2022,67491,0.23,865.3,1.58,83.2,3.9
Guinea,2022,13237832,2.76,53.9,4.85,63.9,73.9
Guinea-Bissau,2022,2026778,2.53,72.1,4.69,63.7,72.7
Guyana,2022,789683,0.24,4,2.06,71.9,26.4
Haiti,2022,11469719,1.22,416.2,2.54,64,53.8
Honduras,2022,9288934,1.26,83,2.4,70.6,17.4
Hong Kong,2022,7276588,0.17,"6,781.50",1.22,83.6,3.4
Hungary,2022,9920415,-0.37,110.7,1.59,74.7,6
Iceland,2022,357603,0.93,3.6,1.95,83.6,2.6
India,2022,1389637446,0.67,467.4,2.1,67.2,34.1
Indonesia,2022,277329163,0.79,153.1,2.01,73.1,23.5
Iran,2022,86758304,0.98,56.6,1.93,75.3,17.1
Iraq,2022,40462701,2,92.5,3.25,73.2,23.5
Ireland,2022,5120464,1.25,74.3,1.72,82.4,3.4
Isle of Man,2022,91382,0.52,159.8,1.89,82,5
Israel,2022,9111963,1.58,423.9,2.97,82.1,3.9
Italy,2022,61095551,-0.13,207.7,1.22,82.6,3.7
Jamaica,2022,2818596,0.08,260.2,2.06,75.8,13
Japan,2022,124214766,-0.39,340.8,1.38,84.8,2.5
Jersey,2022,102146,0.64,880.6,1.66,82.6,4.5
Jordan,2022,10998531,0.81,123.9,2.96,76,16.1
Kazakhstan,2022,19898174,0.94,7.4,2.59,72.8,10
Kenya,2022,55864655,2.12,98.2,3.29,69.7,38.2
Kiribati,2022,114189,1.04,140.8,2.2,67.9,42.6
"Korea, North",2022,26086544,0.43,216.7,1.83,72.9,21
"Korea, South",2022,51844834,0.24,534.9,1.1,83,3.5
Kosovo,2022,1952701,0.57,179.4,1.9,71.1,34.3
Kuwait,2022,3068155,1.17,172.2,2.24,79.1,9.1
Kyrgyzstan,2022,6071750,0.86,31.7,2.5,72.4,29
Laos,2022,7749595,1.34,33.6,2.35,68.2,47.4
Latvia,2022,1842226,-1.11,29.6,1.54,75.9,6.1
Lebanon,2022,5296814,0.66,517.8,1.71,78.8,7.8
Lesotho,2022,2193970,0.76,72.3,2.92,59.6,63.6
Liberia,2022,5186066,2.41,53.8,4.12,61,76
Libya,2022,7137931,1.65,4.1,3.09,77.2,12.9
Liechtenstein,2022,39711,0.72,248.2,1.69,82.6,4.9
Lithuania,2022,2683546,-1.04,42.8,1.61,75.8,4.3
Luxembourg,2022,650364,1.64,251.5,1.63,83,3.7
Macau,2022,635293,0.75,"22,689.00",1.22,85,5.3
Madagascar,2022,28172462,2.27,48.4,3.62,68.2,55.9
Malawi,2022,20794353,2.34,221,3.4,72.4,55.5
Malaysia,2022,33871431,1.03,103.1,1.75,76.1,8.1
Maldives,2022,390164,-0.14,"1,309.30",1.71,76.9,33.2
Mali,2022,20741769,2.95,17,5.54,62.4,95
Malta,2022,464186,0.67,"1,468.90",1.5,83.2,5.7
Marshall Islands,2022,79906,1.34,441.5,2.76,74.7,26.4
Mauritania,2022,4161925,1.99,4,3.53,65.2,78
Mauritius,2022,1308222,0.1,644.4,1.35,74.9,14.3
Mexico,2022,129150971,0.51,66.4,1.68,72.3,13.6
"Micronesia, Federated States of",2022,101009,-0.67,143.9,2.24,74.4,26.7
Moldova,2022,3592090,2.16,109.2,1.24,69.4,16.7
Monaco,2022,31400,0.6,"15,700.00",1.53,89.5,2
Mongolia,2022,3227863,0.88,2.1,1.91,71.4,24.2
Montenegro,2022,604966,-0.41,45,1.81,77.8,3.6
Montserrat,2022,5414,0.5,53.1,1.32,75.7,11.8
Morocco,2022,36738229,0.91,51.3,2.29,73.7,22.9
Mozambique,2022,31693239,2.56,40.3,4.81,57.1,94.1
Namibia,2022,2712364,1.58,3.3,2.98,61.5,45
Nauru,2022,9811,0.42,467.2,2.62,67.9,10.4
Nepal,2022,30666598,0.78,213.9,1.9,72.4,31.1
Netherlands,2022,17601564,0.57,519.3,1.61,81.5,4.3
New Caledonia,2022,297160,1.19,16.3,1.86,78.8,8.9
New Zealand,2022,5053004,1.17,19.1,1.86,82.5,4.1
Nicaragua,2022,6548489,1,54.6,1.87,74.3,17.5
Niger,2022,24484587,3.66,19.3,6.82,60.1,104.7
Nigeria,2022,225082083,2.53,247.1,4.62,61.3,86
North Macedonia,2022,2130936,0.12,83.8,1.51,76.8,8.4
Northern Mariana Islands,2022,51475,-0.35,109.1,2.63,76.6,14.3
Norway,2022,5443828,0.61,17.9,1.56,83.1,2.2
Oman,2022,3764348,1.84,12.2,2.7,76.9,19.2
Pakistan,2022,242923845,1.95,315.1,3.46,69.7,68.9
Palau,2022,21695,0.39,47.3,1.7,74.6,13.6
Panama,2022,4337768,1.53,58.4,2.39,77.6,21.3
Papua New Guinea,2022,9593498,2.35,21.2,3.92,69.4,41.6
Paraguay,2022,7356409,1.14,18.5,1.89,78.4,29.6
Peru,2022,32275736,0.51,25.2,2.2,68.9,13.9
Philippines,2022,114597229,1.6,384.3,2.78,70.1,28.6
Poland,2022,38699570,3.33,127.2,1.31,74.7,6.4
Portugal,2022,10242081,-0.2,112,1.43,81.5,3.1
Puerto Rico,2022,3098423,-1.38,349.4,1.24,81.7,6.6
Qatar,2022,2508182,1.04,216.5,1.9,79.8,9.3
Romania,2022,18519899,-1.09,80.6,1.63,75.8,6.9
Russia,2022,142183583,-0.47,8.7,1.51,71.8,8.4
Rwanda,2022,13173730,1.74,534,3.33,65.9,34.8
Saint Barthelemy,2022,7103,-0.16,284.1,1.64,80.6,8.3
"Saint Helena, Ascension, and Tristan da Cunha",2022,7925,0.13,20.1,1.6,80.5,22.1
Saint Kitts and Nevis,2022,54488,0.61,208.8,1.76,77.1,15.1
Saint Lucia,2022,167122,0.29,275.8,1.72,79,13.3
Saint Martin,2022,32792,0.33,607.3,1.8,80.6,8.3
Saint Pierre and Miquelon,2022,5257,-1.2,21.7,1.59,81.4,9.4
Saint Vincent and the Grenadines,2022,100969,-0.17,259.6,1.75,76.7,18.3
Samoa,2022,206179,0.63,73.1,2.42,75.2,22.6
San Marino,2022,34682,0.61,568.6,1.53,83.9,7.1
Sao Tome and Principe,2022,217164,1.48,225.3,3.56,67.1,66.6
Saudi Arabia,2022,35354380,1.63,16.4,1.92,76.7,14
Senegal,2022,17923036,2.57,93.1,4.27,70,45
Serbia,2022,6739471,-0.75,87,1.46,74.2,5.5
Seychelles,2022,97017,0.64,213.2,1.82,76.1,15.3
Sierra Leone,2022,8692606,2.49,121.4,3.8,58.8,98.6
Singapore,2022,5921231,0.92,"8,351.50",1.16,86.4,1.9
Sint Maarten,2022,45126,1.23,"1,327.20",1.99,79.3,9
Slovakia,2022,5527637,1.64,114.9,1.6,76,6.7
Slovenia,2022,2101208,-0.06,104.3,1.6,81.8,2
Solomon Islands,2022,702694,1.72,25.1,2.87,76.7,25.5
Somalia,2022,12386248,2.42,19.7,5.31,55.7,141.2
